公告id	股东全称	股东简称	变动截止日期	变动价格	变动数量	变动后持股数	变动后持股比例
1008005	北京东华诚信	设备	2010-09-14				
101371		新疆甬金通达	2015-03-23		991		0.187600
1023616		广运投资			1494743		
1024457	浙江新湖集团股份有限公司	新湖集团	2014-01-20				
10400230		新价值投资	2016-07-26				0.049900
10503108	贵昌有限公司	贵昌有限	2016-07-26				0.092300
1059889		珠海实友化工	2014-01-03				
1063941		阳光集团					0.000500
1064552							
10790129	邯郸钢铁集团有限责任公司	邯钢集团	2016-07-28	2.890000		4121049580	
1079354	有限公司	秦皇岛渤海物流控股	2009-09-04				
10794431			2015-08-18		377000		
10795148	山东鲁锦进出口集团有限公司	鲁锦集团	2016-07-29				
1080050	深圳市创新投资集团有限公司	创新投资	2009-01-12				
1091312		杉杉集团	2012-12-06				0.320000
1091566	新余	投资	2013-12-04				
1092947	广州科技创业投资有限公司	科创投	2013-11-26	15.470000	1406000		
1092962	江西	集团	2013-11-28				
1094606			2013-05-28				0.051900
1094648	有限公司	中网兴	2013-10-29	8.160000	5000000		
1096129		上海祥禾					
1096422		华润深国投	2013-10-30		4000000		
1096864		长和投资	2013-10-31				
1102961	五矿有色金属股份有限公司	五矿有色	2013-09-27				
1104539	有限公司	正元	2013-09-13				0.058600
1108603	上海	化工					
1109594	石家庄宝石电子集团有限责任公司	宝石集团					
1110471	深圳市	投资	2007-11-19				
1111016	中盐吉兰泰盐化集团有限公司	吉盐化集团			7000000	164143774	0.457100
1113793	有限公司	永泰投资	2011-12-19				
1113795	深圳市	深南实业	2009-12-15				
1117020	深圳市同创伟业创业投资有限公司						
1118116		光明食品集团	2011-12-20		4671306		
1119592	深圳市九夷投资有限责任公司		2007-11-19				
1123790				8.700000	1500000		
1124922	张家港海高投资有限公司	海高投资					
1125708		天津和光远	2012-11-20	13.630000			
1129266	河北长芦大清河盐化集团有限公司	清盐公司	2013-07-29		1880000		
1129457	中国康力克进出口有限公司	康力克公司	2009-10-26		48000000		
1130146	企业	达晨财富	2011-10-18	18.320000			
1130496	深圳市创新资本投资有限公司	深创投	2011-11-01	15			0.049800
1136139	有限公司	华天实业	2013-06-17				
113655	五龙贸易有限公司	五龙公司	2014-07-07	9.610000			
1137541	上海	化工					
1138731	有限公司	上海兴铭	2012-09-05				
1141923	深圳市	益峰源	2011-09-15				
1142421	武汉	科技	2013-06-14				
1145047	有限公司	中兴通讯	2011-05-24	26.940000			
1145985	富润控股集团有限公司	富润集团	2013-06-18				
1148440			2012-07-19				
1149610	南京	油运	2010-07-14	6.800000	2000000		
1150842	中国西电集团公司	西电集团	2013-06-06		44674753		
1151634	南通产业控股集团有限公司	南通产控	2009-07-01		1152000		
1153238	河南	控股	2009-05-06		20000000		0.021100
1154658	公司	深圳茂业商厦	2012-05-25		7227211		
1155735	创股权投资基金合伙企业	天津软银		29.600000			
1161561	武汉	集团	2010-01-14				
1164075		铜陵化学工业集团					
1164624		新新资产	2012-05-09		2600000		
1165428	中国风险投资有限公司	中风投	2012-05-31				
1174992	有限公司	五矿发展	2009-09-17				
1176235			2012-08-28				
1183633	河南轮胎集团有限责任公司	河南轮胎集团					0.045800
1188760	中国工商银行股份有限公司湖北省分行	工行省分行	2010-04-26			35821155	
1191319		明石信远	2012-04-16	20.100000	1000000		
1196495	武汉华中科技大	集团	2008-10-06				
1197661	中国建设银行股份有限公司	ST	2012-04-16		1000000		0.131700
1197672		斯米克工业	2011-03-10	2710000			0.136100
1203439		中馀投资	2009-12-30				0.025746
1203716	金堆城钼业集团有限公司	金钼集团	2009-12-18				
1203888	中央汇金投资有限责任公司	汇金公司	2012-10-10				0.354600
1204424		雅戈尔投资	2012-04-12				
1204828	如东县中天投资有限公司	如东中天投资	2009-07-08		2526100		
1205635	合肥美菱股份有限公司		2009-07-28			8005050	
1208400	石家庄宝石电子集团有限责任公司	宝石集团	2009-06-30				
1209331	中国新纪元有限公司						
1210986	上海	化工	2009-01-09				
121236	有限公司	新筑投资	2014-12-03	11	25000000		
1216295		山田林业	2012-05-08	2733500			
1216439	宁波电子信息集团有限公司	宁波电子	2009-03-30				0.049995
1216604			2009-03-04		72300		
1219943	有限公司	上海弘腾投资	2012-06-06	7.920000	40630000		
1224610	深圳市富海银涛创业投资有限公司	富海银涛	2012-02-27				
1225473	武汉新一代科技有限公司		2012-11-08				
1232944	洋浦高盛	投资	2009-12-30		4200000		
1235354		昆吾九鼎投资	2012-02-24				
1236269		万利达集团	2010-04-08				
1236747	有限公司	上海弘腾投资	2012-05-21		40630000		
1238424		梅州敬基					0.049900
1238637	山东	集团	2012-07-24				
1239397	中国建设银行股份有限公司		2011-03-24		2000000		
1240431	大鹏创业投资有限责任公司	大鹏创投	2011-02-21				
1243679	山西省风陵渡开发区众力投资发展有限公司	众力投资					
1246901	北京	科学城	2009-03-10				
1247497	中国洛阳浮法玻璃集团有限责任公司		2010-09-06				
1254169	材料创业投资有限公司	深圳东金	2011-07-18				
1256991	中国五矿集团公司	五矿集团					
1257741	深圳市翔龙通讯有限公司	深圳翔龙	2009-01-13				
1263488		贵航集团	2011-07-11				
1264865	杭州赛智创业投资有限公司	杭州赛智	2012-12-24				
1265005	上海	投资	2012-12-27			0	
1266278		天津博信	2012-11-02		6.53		
1267126	大鹏创业投资有限责任公司	大鹏创投	2012-09-03				
1268572	深圳市宝德投资控股有限公司	宝德控股	2012-12-17				0.153000
127390	股份有限公司	北汽福田	2008-02-15				
1277058			2012-07-03				
1280497	深圳力合创业投资有限公司	深圳力合于	2012-06-28				
1290462	广东	投资	2012-11-16	12.300000			
129353	苏州市吴中区	商社	2009-06-04			19730000	
1295257	甘肃省农垦集团有限责任公司	农垦集团	2012-02-15				
1297963	杭州	集团		17			
1301033							
130771	海口市国有资产经营有限公司	海口国资	2009-05-15				
1308978	深圳市创新投资集团有限公司	创新投	2012-10-09				
1311070	深圳市通产包装集团有限公司	通产包装集团				49375664	
1315878	潍坊	集团					
1320214	重庆润江基础设施投资有限公司		2010-11-04				
1322982	宝钢集团有限公司	惣下称宝钢集团					
1324544		重庆风投		33			
1324768	北京	冶新元	2012-02-22				
132719	有限公司	平原实业					
133560	北海银河科技电气有限责任公司	银河电气			12443640		
1336153	武汉	电力	2012-03-23		2753396	36837790	0.074300
134097	山西省风陵渡开发区众力投资发展有限公司	众力投资	2009-02-06				
1342041		上海风云际会投资中心	2012-07-09				
134260	宁波安瑞盛科技有限公司	宁波安瑞盛	2009-02-09				
1342857		宁波商城公司	2007-05-08				0.013900
134373	武威塑料包装有限公司	武威塑料	2009-02-16				
1344644	湖南湘投高科技创业投资有限公司	湖南高科	2012-06-29				
1344738	有限公司	长江润发					
1351719			2008-05-28				
1356816	天津工程机械研究院	天工院	2008-09-23		3017559		
1363409	鞍山钢铁集团公司		2012-05-25				
1367467	青海省金星矿业有限公司	金星矿业	2007-10-10			45297980	
137547		荣冠投资	2013-03-05	6.750000			
1375864		集团公司	2008-10-27				
1383938	中国东方资产管理公司	东方资产	2008-02-13				
1391879	湖南省粮油食品进出口集团有限公司	湖南粮油					0.386400
